"word";"text_thread_id";"Yhteensä";"Suomi24 2021–2023: 2021";"Suomi24 2021–2023: 2022";"Suomi24 2021–2023: 2023"
"kani";"10362676";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kana";"10371719";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihakeitto";"10374031";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauheliha";"10392858";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kastike";"10392858";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"10395960";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"10403954";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kani";"10405453";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10414182";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10415359";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kani";"1041941";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10421699";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihakeitto";"10422258";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jänis";"10425785";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kalja";"10429217";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kananmunan";"10429243";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kana";"10436447";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kahvi";"10436447";"0.004221865437534154";"0.006365315811706728";"0.006890118966516605";"0"
"kalja";"10443262";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kananmuna";"10449752";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kahvi";"1045772";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"10467480";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"10470620";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10473703";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"10480569";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"1048516";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10489957";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kakun";"10495189";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kana";"10497211";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kananmunan";"10497314";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10532746";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10535311";"0.004221865437534154";"0";"0.01378023793303321";"0"
"kakun";"10538969";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kani";"1053966";"0.004221865437534154";"0";"0.01378023793303321";"0"
"kakun";"10540332";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"1054195";"0.002110932718767077";"0";"0";"0.005831329834185553"
